Contract Address,Contract Name,Solidity File Path
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/contracts/game/FreaksNGuildsMigrated.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/contracts/game/interfaces/Structs.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/contracts/game/interfaces/InterfacesMigrated.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/contracts/base/controllable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/token/ERC721/IERC721Upgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/token/ERC721/ERC721Upgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/token/ERC721/IERC721ReceiverUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/token/ERC721/extensions/IERC721EnumerableUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/token/ERC721/extensions/IERC721MetadataUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/token/ERC721/extensions/ERC721EnumerableUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/proxy/utils/Initializable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/proxy/utils/UUPSUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/proxy/ERC1967/ERC1967UpgradeUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/proxy/beacon/IBeaconUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/access/OwnableUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/security/PausableUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/utils/ContextUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/utils/StringsUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/utils/AddressUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/utils/StorageSlotUpgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/utils/introspection/IERC165Upgradeable.sol
0x41659e5b20880b3bd10685ee3f74b887a5ac6b82,FreaksNGuildsMigrated,contractsDump/0x41659e5b20880b3bd10685ee3f74b887a5ac6b82-FreaksNGuildsMigrated/@openzeppelin/contracts-upgradeable/utils/introspection/ERC165Upgradeable.sol
